id,nature,X,Y
2231,Misc,649373.9500000,6860704.1000000
2232,Misc,649559.3452998,6860736.7870304
2233,Misc,649333.1500000,6860562.6500000
2234,Misc,649323.0128913,6860588.6813996
2235,Misc,649311.1333333,6860615.0000000
2236,Misc,649650.0196599,6860668.7836803
2237,Misc,648865.7047059,6858587.5560463
2238,Misc,649401.7841921,6860316.9784368
2239,Misc,649195.3596508,6860367.4211101
2240,Misc,649244.9677596,6860429.5016393
2241,Misc,649272.4179421,6860349.6518444
2242,Misc,649213.1138923,6860433.3677602
2243,Misc,649582.7672241,6860387.5547380
2244,Misc,649595.3623009,6860368.0461357
2245,Misc,649589.1500000,6860377.6000000
2246,Misc,648906.1687625,6860394.0065733
2247,Misc,648777.1998935,6860347.1065876
2248,Misc,649051.1096069,6860414.0717967
2249,Misc,649007.4504546,6860396.0173921
2250,Misc,649033.9910448,6860428.2689055
2251,Misc,649050.2673609,6860379.7507413
2252,Misc,649141.8476780,6860329.5861713
2253,Misc,649139.9446843,6860434.8689049
2254,Misc,649129.9356801,6860673.7294655
2255,Church,649088.5327461,6860730.5547601
2256,Misc,649164.6864990,6860744.7367249
2257,Misc,648927.3636420,6858975.8207867
2258,Misc,649228.4500000,6860737.0500000
2259,Misc,649427.1318886,6860117.9517686
2260,Misc,649372.8500000,6860101.7000000
2261,Misc,649413.6685381,6860101.2810028
2262,Misc,649294.9044314,6860091.2870775
2263,Misc,649314.1909366,6860113.6616818
2264,Misc,649577.2381031,6860088.8477249
2265,Misc,649568.1800687,6860104.2615120
2266,Misc,649284.0893332,6860057.4192371
2267,Misc,648883.5681878,6860756.3364049
2268,Misc,648946.7314263,6860788.1598994
2269,Misc,648891.5372500,6860675.9383876
2270,Misc,650100.1322817,6858409.1990193
2271,Misc,648443.9703097,6860427.6550091
2272,Misc,649062.9495444,6860789.7189281
2273,Misc,649311.8199686,6858592.4431658
2274,Misc,659543.0839794,6857647.0326328
2275,Misc,648807.8125405,6858799.1894868
2276,Misc,648795.2535150,6858822.8843245
2277,Misc,648818.9806898,6858629.9045278
2278,Misc,648773.6229783,6860039.2717252
2279,Misc,648733.3348990,6860019.1874452
2280,Misc,648459.7331841,6860503.9074932
2281,Misc,648500.5822960,6860486.4993640
2282,Misc,648472.6718278,6860498.7417053
2283,Misc,648499.5321208,6860586.6499030
2284,Misc,648723.0928079,6860509.4867980
2285,Misc,648507.4500000,6860577.5500000
2286,Misc,648672.4000000,6860610.9000000
2287,Misc,648569.5623624,6860431.8915087
2288,Misc,648665.0830389,6860249.4099176
2289,Misc,648647.7844594,6860373.6612736
2290,Misc,648563.6637523,6860254.6972678
2291,Misc,648607.8351585,6860177.2393532
2292,Misc,648585.2400136,6860147.2304550
2293,Misc,648745.5870231,6860126.6342700
2294,Misc,650338.5043956,6859031.1190476
2295,Misc,650343.0897525,6858334.5130785
2296,Misc,650327.8691276,6858236.5091639
2297,Misc,650338.0921648,6858235.1293098
2298,Misc,650356.9959027,6858282.1736622
2299,Misc,650333.2659331,6858780.9833104
2300,Misc,650328.1536279,6858290.7246880
2301,Misc,650346.3237659,6858348.6517154
2302,Misc,650348.4466126,6858727.9799744
2303,Misc,650262.4214214,6858834.1303501
2304,Misc,650209.1496183,6859168.6949109
