id,numpoints,X,Y
2148,3,650591.3587761,6865465.0236859
2149,1,651652.8951234,6857659.9127026
2150,1,653242.1882583,6862777.8953746
2151,2,653010.9488547,6860165.3404332
2152,1,654985.0551799,6859301.0441221
2153,11,653142.8178334,6860375.4854343
2154,4,650472.3529321,6865964.7600736
2155,1,650584.2113094,6866036.6042543
2156,1,650594.6518822,6865903.7212409
2157,3,650521.4970362,6865340.1330354
2158,2,650492.3654274,6866278.0767594
2159,1,650703.0465153,6866439.9973774
2160,2,651342.1067790,6864679.0357275
2161,1,654976.1476659,6859375.9021648
2162,4,650418.7536852,6865307.5570107
2163,3,650685.5493271,6865294.5026856
2164,4,650470.0203217,6865436.0785835
2165,1,650646.1755418,6865457.1884186
2166,1,651606.5139158,6864131.5840350
2167,1,654229.9995357,6860235.4642619
2168,1,650695.6275697,6865769.0432884
2169,6,650456.6670929,6865759.7115049
2170,4,652678.1727835,6864159.0003393
2171,3,651770.4787636,6860200.4523710
2172,2,651496.9869556,6865366.3532912
2173,1,650064.7830629,6861840.5003949
2174,3,651228.7848705,6864789.5389416
2175,1,654150.3354177,6858474.2131607
2176,1,651188.7336824,6862785.3608183
2177,4,654018.9527798,6859040.4125882
2178,1,650319.9803464,6863419.2113356
2179,1,651679.6630446,6863803.6430931
2180,1,652042.3754499,6864087.6429914
2181,2,652035.3294766,6863923.1062869
2182,3,650433.5897243,6864880.4587852
2183,3,651264.1646290,6859234.0023576
2184,5,650373.3945357,6864854.8130140
2185,2,651401.6692506,6859176.4546675
2186,1,650378.1414231,6859321.1548251
2187,1,651779.0662837,6863420.4306218
2188,4,655912.1058967,6864298.1507845
2189,1,650322.9526152,6859271.4149208
2190,2,651973.3040294,6865635.8781770
2191,4,656057.6541219,6864194.2180368
2192,1,651974.4771795,6865556.8226835
2193,3,656065.8775028,6864291.8262135
2194,10,650084.9015176,6866110.3013200
2195,7,650212.0129235,6861670.3994030
2196,3,650183.6306185,6866301.3374583
2197,1,653335.9003704,6863793.4449335
2198,2,650208.7369733,6859967.1813139
2199,7,650372.6785869,6865817.1884302
2200,1,650207.4115659,6859918.8731018
2201,2,650410.6388989,6865186.1647980
2202,2,650429.9511696,6865621.9519840
2203,1,650487.3294484,6862349.8749183
2204,1,651015.1804080,6863160.9524274
2205,1,651058.2114217,6863260.2228112
2206,1,655190.8151983,6863429.4417223
2207,1,651049.8321748,6865599.5629634
2208,3,650886.1161421,6863198.9293302
2209,7,646545.4786496,6862624.1832778
2210,5,650145.0964723,6862394.0454947
2211,1,650431.1964872,6866461.7110154
2212,6,650383.9700111,6865521.3147809
2213,2,649507.8947946,6864290.6621559
2214,1,648997.2921698,6862079.5947994
2215,1,650091.7779212,6859581.5440948
2216,4,654885.8657383,6859308.0573626
2217,8,650148.9153206,6860035.7840463
2218,3,650013.7624482,6859515.0326835
2219,4,651362.5453567,6866847.7704760
2220,2,650135.1108233,6859483.8105969
2221,1,650995.8107116,6862907.7061817
2222,2,650045.6563360,6863389.4890229
2223,3,654822.3470303,6864978.9941753
2224,2,651873.1555409,6863046.3610392
2225,1,651169.1148682,6866647.7416721
2226,2,651175.9673213,6865186.9793130
2227,1,650745.1947720,6865219.1525553
2228,1,651879.7847798,6866153.4014832
2229,3,650257.6798058,6864075.0592279
2230,1,651869.2653066,6866237.2451985
2231,1,654613.3985396,6864868.8262350
